Heart Disease,Relative Risk 25 to 29,Relative Risk 25 to 29 LI,Relative Risk 25 to 29 UI,Relative Risk 30 to 34,Relative Risk 30 to 34 LI,Relative Risk 30 to 34 UI,Relative Risk 35 to 39,Relative Risk 35 to 39 LI,Relative Risk 35 to 39 UI,Relative Risk 40 to 44,Relative Risk 40 to 44 LI,Relative Risk 40 to 44 UI,Relative Risk 45 to 49,Relative Risk 45 to 49 LI,Relative Risk 45 to 49 UI,Relative Risk 50 to 54,Relative Risk 50 to 54 LI,Relative Risk 50 to 54 UI,Relative Risk 55 to 59,Relative Risk 55 to 59 LI,Relative Risk 55 to 59 UI,Relative Risk 60 to 64,Relative Risk 60 to 64 LI,Relative Risk 60 to 64 UI,Relative Risk 65 to 69,Relative Risk 65 to 69 LI,Relative Risk 65 to 69 UI,Relative Risk 70 to 74,Relative Risk 70 to 74 LI,Relative Risk 70 to 74 UI,Relative Risk 75 to 79,Relative Risk 75 to 79 LI,Relative Risk 75 to 79 UI,Relative Risk Above 80,Relative Risk Above 80 LI,Relative Risk Above 80 UI
Rheumatic heart disease,1.631,1.173,2.307,1.474,1.17,1.9,1.317,1.141,1.575,1.229,1.089,1.4240000000000002,1.2109999999999999,1.1,1.37,1.193,1.107,1.328,1.175,1.101,1.2890000000000001,1.157,1.0859999999999999,1.266,1.139,1.055,1.249,1.127,1.048,1.2409999999999999,1.12,1.06,1.239,1.104,1.04,1.284
Ischemic heart disease,1.972,1.436,2.5980000000000003,1.818,1.4580000000000002,2.207,1.665,1.4580000000000002,1.911,1.568,1.3980000000000001,1.7990000000000002,1.527,1.393,1.706,1.4869999999999999,1.385,1.62,1.446,1.368,1.536,1.405,1.3319999999999999,1.489,1.364,1.255,1.456,1.33,1.222,1.4240000000000002,1.3030000000000002,1.225,1.4040000000000001,1.266,1.133,1.4369999999999998
Ischemic stroke,1.854,1.3940000000000001,2.59,1.774,1.426,2.253,1.694,1.4040000000000001,2.036,1.6280000000000001,1.3530000000000002,1.95,1.574,1.359,1.825,1.521,1.36,1.7,1.4680000000000002,1.344,1.598,1.4140000000000001,1.301,1.524,1.361,1.214,1.49,1.318,1.168,1.452,1.284,1.177,1.39,1.2009999999999998,1.1079999999999999,1.37
Hemorrhagic stroke,2.134,1.554,2.9189999999999996,2.05,1.5930000000000002,2.661,1.966,1.588,2.465,1.874,1.4909999999999999,2.303,1.775,1.4809999999999999,2.117,1.676,1.446,1.9340000000000002,1.577,1.399,1.755,1.4780000000000002,1.33,1.619,1.379,1.207,1.54,1.3230000000000002,1.162,1.495,1.311,1.192,1.45,1.2790000000000001,1.126,1.5190000000000001
Cardiomyopathy and myocarditis,1.755,1.265,2.424,1.605,1.29,2.012,1.455,1.2770000000000001,1.642,1.365,1.229,1.511,1.335,1.222,1.449,1.306,1.218,1.3940000000000001,1.276,1.2109999999999999,1.3419999999999999,1.247,1.182,1.304,1.217,1.131,1.285,1.193,1.1159999999999999,1.264,1.175,1.119,1.238,1.128,1.071,1.237
Atrial fibrillation and flutter,1.76,1.3359999999999999,2.43,1.631,1.3769999999999998,2.0269999999999997,1.5030000000000001,1.396,1.6440000000000001,1.423,1.34,1.505,1.392,1.328,1.4580000000000002,1.361,1.3130000000000002,1.411,1.33,1.2930000000000001,1.369,1.2990000000000002,1.266,1.3330000000000002,1.268,1.2329999999999999,1.3090000000000002,1.237,1.2009999999999998,1.2770000000000001,1.208,1.176,1.238,1.1340000000000001,1.092,1.185
Aortic aneurysm,1.544,1.258,2.169,1.469,1.29,1.818,1.3940000000000001,1.2990000000000002,1.538,1.345,1.226,1.452,1.321,1.232,1.405,1.296,1.229,1.3619999999999999,1.272,1.218,1.327,1.248,1.1909999999999998,1.2990000000000002,1.2229999999999999,1.16,1.286,1.2,1.137,1.262,1.177,1.126,1.23,1.119,1.071,1.185
Peripheral vascular disease,1.7280000000000002,1.203,2.43,1.4909999999999999,1.206,1.871,1.254,1.182,1.33,1.138,1.0190000000000001,1.263,1.1420000000000001,1.047,1.2429999999999999,1.146,1.071,1.224,1.15,1.094,1.209,1.1540000000000001,1.11,1.199,1.159,1.113,1.207,1.1520000000000001,1.104,1.2009999999999998,1.136,1.097,1.176,1.095,1.054,1.155
Endocarditis,1.755,1.265,2.424,1.605,1.29,2.012,1.455,1.2770000000000001,1.642,1.365,1.229,1.511,1.335,1.222,1.449,1.306,1.218,1.3940000000000001,1.276,1.2109999999999999,1.3419999999999999,1.247,1.182,1.304,1.217,1.131,1.285,1.193,1.1159999999999999,1.264,1.175,1.119,1.238,1.128,1.071,1.237
Other cardiovascular and circulatory diseases,1.744,1.339,2.397,1.624,1.382,2.006,1.504,1.405,1.626,1.4269999999999998,1.354,1.499,1.395,1.3359999999999999,1.452,1.3630000000000002,1.317,1.406,1.33,1.296,1.365,1.298,1.266,1.3319999999999999,1.265,1.2309999999999999,1.3030000000000002,1.235,1.2009999999999998,1.271,1.207,1.176,1.235,1.137,1.095,1.188
